checksums,id,public access,created at,updated at,created_by_id,updated_by_id,is active,extras,uri,version,released,retired,is latest version,custom validation schema,parent_id,map type,sort weight,external id,comment,versioned_object_id,mnemonic,from_concept_id,to_concept_id,to_source_id,from_source_id,from concept code,from concept name,from source url,from source version,to concept code,to concept name,to source url,to source version, counted, index
{},621499,View,2022-09-01T21:07:56.667788+00:00,2022-09-02T03:20:45.898385+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/87177/,621499,False,False,False,,10,SAME-AS,,3d03fe53-a09d-4f05-a4cb-7a93f74bcb59,,621499,87177,195253,,11,10,28592,Secondary Oligomenorrhea,/orgs/MOH-KENYA/sources/nhdd/,,34272008,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},630410,View,2022-09-01T21:08:37.874486+00:00,2022-09-02T03:20:45.922313+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/91634/,630410,False,False,False,,10,SAME-AS,,38882409-0a56-4102-94fb-0aa7b7fcd023,,630410,91634,197970,,11,10,34767,intentional furosemide poisoning,/orgs/MOH-KENYA/sources/nhdd/,,291971008,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},635090,View,2022-09-01T21:08:59.161605+00:00,2022-09-02T03:20:45.936754+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/93973/,635090,False,False,False,,10,SAME-AS,,a96a2bad-1a38-4bd4-a3b6-816959a3db71,,635090,93973,199311,,11,10,34418,Unspecified Illegal Abortion with Shock,/orgs/MOH-KENYA/sources/nhdd/,,61752008,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},639080,View,2022-09-01T21:09:16.995090+00:00,2022-09-02T03:20:45.951588+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/95967/,639080,False,False,False,,10,SAME-AS,,a9ac2f2b-aeeb-44ab-91ef-f6af1d81d3aa,,639080,95967,200451,,11,10,32625,Thyroid-Binding Globulin Abnormality,/orgs/MOH-KENYA/sources/nhdd/,,190308003,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},630415,View,2022-09-01T21:08:37.890855+00:00,2022-09-02T03:20:45.966117+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/91636/,630415,False,False,False,,10,SAME-AS,,5c33d276-058e-418e-8f81-f373291a7e71,,630415,91636,197976,,11,10,40332,accelerated renal transplant rejection,/orgs/MOH-KENYA/sources/nhdd/,,236572007,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},635094,View,2022-09-01T21:08:59.179873+00:00,2022-09-02T03:20:45.980900+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/93975/,635094,False,False,False,,10,SAME-AS,,cc150d8c-d31f-476b-9d7a-846136cd642d,,635094,93975,199309,,11,10,35492,Vitamin deficiency,/orgs/MOH-KENYA/sources/nhdd/,,85670002,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},621509,View,2022-09-01T21:07:56.719308+00:00,2022-09-02T03:20:46.023743+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/87181/,621509,False,False,False,,10,SAME-AS,,f79be919-5841-4bff-bf1a-a93f37990bc0,,621509,87181,195333,,11,10,38701,allergy to dairy product,/orgs/MOH-KENYA/sources/nhdd/,,425525006,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},625580,View,2022-09-01T21:08:16.214459+00:00,2022-09-02T03:20:46.038545+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/89219/,625580,False,False,False,,10,SAME-AS,,b730ac7a-111f-4378-9e4c-09f8aa5729ff,,625580,89219,196554,,11,10,39605,accidental carmustine poisoning,/orgs/MOH-KENYA/sources/nhdd/,,290624007,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},641752,View,2022-09-01T21:09:29.037756+00:00,2022-09-02T03:20:46.053935+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/97304/,641752,False,False,False,,10,SAME-AS,,a2160f7f-b786-46e6-a02f-f3d0a0ce1842,,641752,97304,201207,,11,10,31552,Suppurative Pulpitis,/orgs/MOH-KENYA/sources/nhdd/,,4237001,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},621510,View,2022-09-01T21:07:56.738560+00:00,2022-09-02T03:20:46.068158+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/87182/,621510,False,False,False,,10,SAME-AS,,0b8759ec-a492-4e73-a967-9ba4913e6d84,,621510,87182,195307,,11,10,38163,bolus obstruction of intestine,/orgs/MOH-KENYA/sources/nhdd/,,235810006,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},630422,View,2022-09-01T21:08:37.921869+00:00,2022-09-02T03:20:46.109451+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/91638/,630422,False,False,False,,10,SAME-AS,,536eca5d-418c-45af-b20b-5415533316aa,,630422,91638,197972,,11,10,28250,Schizencephaly,/orgs/MOH-KENYA/sources/nhdd/,,253159001,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},625584,View,2022-09-01T21:08:16.220996+00:00,2022-09-02T03:20:46.147997+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/89221/,625584,False,False,False,,10,SAME-AS,,c24c8b0a-28e0-4359-b670-7bf9e35ab696,,625584,89221,196556,,11,10,26819,Immunophenotyping test,/orgs/MOH-KENYA/sources/nhdd/,,414466002,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},621514,View,2022-09-01T21:07:56.754168+00:00,2022-09-02T03:20:46.218518+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/87185/,621514,False,False,False,,10,SAME-AS,,825d2ac7-b6db-41cd-b813-faad7e5df46d,,621514,87185,195310,,11,10,27522,Rheumatic Adherent Pericardium,/orgs/MOH-KENYA/sources/nhdd/,,56501009,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},696413,View,2022-09-01T21:13:37.532789+00:00,2022-09-02T03:20:46.225633+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/124634/,696413,False,False,False,,10,SAME-AS,,50815174-41a3-4e64-b9c6-e8cf833c271c,,696413,124634,216642,,11,10,40810,Failure of Sterile Precautions During Endoscopic Examination,/orgs/MOH-KENYA/sources/nhdd/,,216940009,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},630428,View,2022-09-01T21:08:37.959046+00:00,2022-09-02T03:20:46.242382+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/91641/,630428,False,False,False,,10,SAME-AS,,809d45be-10dd-40b4-8d9a-4ea2843149b3,,630428,91641,197981,,11,10,35667,hip joint painful on movement,/orgs/MOH-KENYA/sources/nhdd/,,299308007,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},625590,View,2022-09-01T21:08:16.230326+00:00,2022-09-02T03:20:46.279205+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/89223/,625590,False,False,False,,10,SAME-AS,,b544e380-4ea9-4417-960a-bf13fdc63c03,,625590,89223,196526,,11,10,31704,Symptomatic Sexual Sadism,/orgs/MOH-KENYA/sources/nhdd/,,111486000,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},639088,View,2022-09-01T21:09:17.022105+00:00,2022-09-02T03:20:46.294293+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/95973/,639088,False,False,False,,10,SAME-AS,,7ed8b660-162f-4af6-9ffd-8c62b5e2e991,,639088,95973,200346,,11,10,30467,Straight Back Syndrome,/orgs/MOH-KENYA/sources/nhdd/,,54837006,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},621519,View,2022-09-01T21:07:56.790666+00:00,2022-09-02T03:20:46.342371+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/87188/,621519,False,False,False,,10,SAME-AS,,6ba1553c-718a-4157-99ca-0d3b32d257f3,,621519,87188,195243,,11,10,32055,"Abdominal Tenderness, Left Lower Quadrant",/orgs/MOH-KENYA/sources/nhdd/,,439774009,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},635111,View,2022-09-01T21:08:59.251440+00:00,2022-09-02T03:20:46.357397+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/93985/,635111,False,False,False,,10,SAME-AS,,b74cd71c-ad69-46af-9105-6f1c07867d4f,,635111,93985,199356,,11,10,37651,chronic progressive renal failure,/orgs/MOH-KENYA/sources/nhdd/,,425369003,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},644785,View,2022-09-01T21:09:43.263442+00:00,2022-09-02T03:20:46.399597+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/98821/,644785,False,False,False,,10,SAME-AS,,7b18b50b-dbaf-4454-941f-1e120d72f6fc,,644785,98821,202036,,11,10,30659,Subacute Contact Dermatitis,/orgs/MOH-KENYA/sources/nhdd/,,88718007,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},630439,View,2022-09-01T21:08:38.036851+00:00,2022-09-02T03:20:46.427314+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/91646/,630439,False,False,False,,10,SAME-AS,,09d896db-0c50-4b77-90d3-451a3c33f21c,,630439,91646,197921,,11,10,33327,Transient Erythroblastopenia of Childhood,/orgs/MOH-KENYA/sources/nhdd/,,234375006,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},639093,View,2022-09-01T21:09:17.032717+00:00,2022-09-02T03:20:46.464058+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/95976/,639093,False,False,False,,10,SAME-AS,,e8ca93ba-710f-43c1-82a0-00965aeb2b70,,639093,95976,200388,,11,10,31907,Tabetic Joint,/orgs/MOH-KENYA/sources/nhdd/,,239825002,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},635118,View,2022-09-01T21:08:59.281706+00:00,2022-09-02T03:20:46.485752+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/93987/,635118,False,False,False,,10,SAME-AS,,acbc9ac2-3f6c-4246-9631-9b3253a8eb03,,635118,93987,199353,,11,10,39443,Degenerative Disorder of Eyelid,/orgs/MOH-KENYA/sources/nhdd/,,1112003,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},625609,View,2022-09-01T21:08:16.307977+00:00,2022-09-02T03:20:46.528937+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/89231/,625609,False,False,False,,10,SAME-AS,,89c93ee8-2fad-4181-b30a-f01cf1390b2b,,625609,89231,196505,,11,10,38886,acute bronchitis due to Rhinovirus,/orgs/MOH-KENYA/sources/nhdd/,,195728004,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},621532,View,2022-09-01T21:07:56.834634+00:00,2022-09-02T03:20:46.544089+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/87195/,621532,False,False,False,,10,SAME-AS,,d2fc1c77-56c4-4515-b06d-387e01c65820,,621532,87195,195335,,11,10,30082,Sporadic Goiter,/orgs/MOH-KENYA/sources/nhdd/,,85568000,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},635126,View,2022-09-01T21:08:59.309123+00:00,2022-09-02T03:20:46.574927+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/93990/,635126,False,False,False,,10,SAME-AS,,83c0a183-0b23-4203-8b11-aed9ac545162,,635126,93990,199361,,11,10,33875,loxapine poisoning,/orgs/MOH-KENYA/sources/nhdd/,,291126004,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},621534,View,2022-09-01T21:07:56.839704+00:00,2022-09-02T03:20:46.627530+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/87196/,621534,False,False,False,,10,SAME-AS,,1f9e8655-1024-4c4d-ad78-c59a82e204f8,,621534,87196,195272,,11,10,37086,Horizontal Displacement of Teeth,/orgs/MOH-KENYA/sources/nhdd/,,110304005,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},635128,View,2022-09-01T21:08:59.318251+00:00,2022-09-02T03:20:46.649121+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/93991/,635128,False,False,False,,10,SAME-AS,,225e3df6-8710-44db-b3dc-803fe86305a6,,635128,93991,199354,,11,10,28260,Grey matter heterotopia,/orgs/MOH-KENYA/sources/nhdd/,,448041008,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},696416,View,2022-09-01T21:13:37.545547+00:00,2022-09-02T03:20:46.713254+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/124635/,696416,False,False,False,,10,SAME-AS,,bfdce27f-3be2-454f-ac9f-f20efe50bbea,,696416,124635,216707,,11,10,42767,17q Partial Trisomy Syndrome,/orgs/MOH-KENYA/sources/nhdd/,,48812004,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},630450,View,2022-09-01T21:08:38.089319+00:00,2022-09-02T03:20:46.850521+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/91654/,630450,False,False,False,,10,SAME-AS,,f6a255fc-ea10-436a-ae18-01c3566ed4b2,,630450,91654,197951,,11,10,28607,Secondary physiologic amenorrhea,/orgs/MOH-KENYA/sources/nhdd/,,86030004,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},625620,View,2022-09-01T21:08:16.372472+00:00,2022-09-02T03:20:47.671500+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/89239/,625620,False,False,False,,10,SAME-AS,,99e56e50-05bb-4a91-bfcc-27a9e953b126,,625620,89239,196562,,11,10,33857,lung transplant rejection,/orgs/MOH-KENYA/sources/nhdd/,,312603000,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},696417,View,2022-09-01T21:13:37.550019+00:00,2022-09-02T03:20:47.762592+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/124636/,696417,False,False,False,,10,SAME-AS,,3e6630e5-7782-4aa0-ba8b-f9404306a842,,696417,124636,216672,,11,10,33088,Toxic Effect of Polyester Fumes,/orgs/MOH-KENYA/sources/nhdd/,,2418009,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},625628,View,2022-09-01T21:08:16.401786+00:00,2022-09-02T03:20:47.771993+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/89240/,625628,False,False,False,,10,SAME-AS,,5051a23a-6ee7-4b34-b0d0-a75136693c28,,625628,89240,196560,,11,10,40143,picking at clothes,/orgs/MOH-KENYA/sources/nhdd/,,52236005,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},630457,View,2022-09-01T21:08:38.107814+00:00,2022-09-02T03:20:47.813743+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/91658/,630457,False,False,False,,10,SAME-AS,,d8fadcd5-a572-4985-9df5-f2a6fd96fe2d,,630457,91658,197837,,11,10,30451,Stomatocytosis,/orgs/MOH-KENYA/sources/nhdd/,,3272007,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},625630,View,2022-09-01T21:08:16.428825+00:00,2022-09-02T03:20:47.880568+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/89245/,625630,False,False,False,,10,SAME-AS,,2a222400-14e5-40c3-9332-b5158fc03d67,,625630,89245,196563,,11,10,26271,Pulmonary Embolism Following Molar and/or Ectopic Pregnancy,/orgs/MOH-KENYA/sources/nhdd/,,663008,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},639110,View,2022-09-01T21:09:17.075378+00:00,2022-09-02T03:20:47.898881+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/95984/,639110,False,False,False,,10,SAME-AS,,66c5332e-ed59-43f0-8d22-30124a0f88ad,,639110,95984,200461,,11,10,38018,candidiasis of mouth and esophagus,/orgs/MOH-KENYA/sources/nhdd/,,266154004,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},639111,View,2022-09-01T21:09:17.078709+00:00,2022-09-02T03:20:47.915826+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/95985/,639111,False,False,False,,10,SAME-AS,,6f4a4435-28d1-4f81-89a7-38f495e02fe8,,639111,95985,200425,,11,10,35682,Walking disability,/orgs/MOH-KENYA/sources/nhdd/,,228158008,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},630465,View,2022-09-01T21:08:38.113367+00:00,2022-09-02T03:20:47.939115+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/91662/,630465,False,False,False,,10,SAME-AS,,364db79a-6347-4d07-b997-423f847c8d0e,,630465,91662,197994,,11,10,27538,Rheumatic Disease of Pulmonary Valve,/orgs/MOH-KENYA/sources/nhdd/,,18687009,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},641764,View,2022-09-01T21:09:29.075975+00:00,2022-09-02T03:20:47.955673+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/97309/,641764,False,False,False,,10,SAME-AS,,af84820d-d6e1-45d7-a468-12659b69c447,,641764,97309,201145,,11,10,30120,Sprain of Iliofemoral Ligament,/orgs/MOH-KENYA/sources/nhdd/,,90654004,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},630466,View,2022-09-01T21:08:38.114523+00:00,2022-09-02T03:20:47.999524+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/91663/,630466,False,False,False,,10,SAME-AS,,3ac216d4-720c-4f54-95a9-3417696d3c4c,,630466,91663,197996,,11,10,38180,blindness of left eye,/orgs/MOH-KENYA/sources/nhdd/,,274571007,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},639113,View,2022-09-01T21:09:17.088860+00:00,2022-09-02T03:20:48.016141+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/95986/,639113,False,False,False,,10,SAME-AS,,3f6cd4c1-ac7c-4583-a8ba-38ee383a8cb9,,639113,95986,200389,,11,10,37118,Anthrax,/orgs/MOH-KENYA/sources/nhdd/,,409498004,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},647154,View,2022-09-01T21:09:53.571331+00:00,2022-09-02T03:20:48.032632+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/100004/,647154,False,False,False,,10,SAME-AS,,350d2899-5df2-47e0-9c01-f4fbc3c297cd,,647154,100004,202763,,11,10,29952,Large,/orgs/MOH-KENYA/sources/nhdd/,,255509001,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},630471,View,2022-09-01T21:08:38.130489+00:00,2022-09-02T03:20:48.083559+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/91664/,630471,False,False,False,,10,SAME-AS,,3d73d98c-9420-481e-b1d9-417295f73cb5,,630471,91664,197925,,11,10,32070,Tenonitis,/orgs/MOH-KENYA/sources/nhdd/,,8976003,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},643187,View,2022-09-01T21:09:35.615692+00:00,2022-09-02T03:20:48.116878+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/98021/,643187,False,False,False,,10,SAME-AS,,2700aafb-0f17-4be6-abe2-9dc7c5cdacf6,,643187,98021,201608,,11,10,31015,Suicide and Selfinflicted Poisoning by Gas Distributed by Pipeline,/orgs/MOH-KENYA/sources/nhdd/,,219126008,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},635154,View,2022-09-01T21:08:59.426894+00:00,2022-09-02T03:20:48.140977+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/94005/,635154,False,False,False,,10,SAME-AS,,90e393cb-6f3d-4bc0-9d5b-c6359b812335,,635154,94005,199279,,11,10,35674,Waddling Gait,/orgs/MOH-KENYA/sources/nhdd/,,271706000,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},621565,View,2022-09-01T21:07:56.948086+00:00,2022-09-02T03:20:48.165506+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/87211/,621565,False,False,False,,10,SAME-AS,,40f77790-5665-45e8-8835-3d8b9e4d9c2c,,621565,87211,195286,,11,10,26097,Psychogenic Adductor Spastic Dysphonia,/orgs/MOH-KENYA/sources/nhdd/,,25297005,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},621568,View,2022-09-01T21:07:56.952677+00:00,2022-09-02T03:20:48.200796+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/87212/,621568,False,False,False,,10,SAME-AS,,ef20203b-da2c-4fa0-8db9-c9210bbb34f5,,621568,87212,195285,,11,10,33311,Transient Arthropathy of the Shoulder Region,/orgs/MOH-KENYA/sources/nhdd/,,201988000,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},635156,View,2022-09-01T21:08:59.436349+00:00,2022-09-02T03:20:48.216958+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/94006/,635156,False,False,False,,10,SAME-AS,,1ae65877-279c-405e-9ba0-c72908ac47ca,,635156,94006,199364,,11,10,32975,"noninflammatory disorder of uterus, unspecified",/orgs/MOH-KENYA/sources/nhdd/,,22043005,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},641769,View,2022-09-01T21:09:29.097719+00:00,2022-09-02T03:20:48.233779+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/97312/,641769,False,False,False,,10,SAME-AS,,34ff009c-ebe2-486b-8906-a177de26a713,,641769,97312,201212,,11,10,39096,accidental quinine poisoning,/orgs/MOH-KENYA/sources/nhdd/,,291450009,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},621571,View,2022-09-01T21:07:56.973138+00:00,2022-09-02T03:20:48.280141+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/87213/,621571,False,False,False,,10,SAME-AS,,d0fe6a67-8257-4ec0-9aa2-bc04617fdd8e,,621571,87213,195322,,11,10,36008,fundoscopy abnormal,/orgs/MOH-KENYA/sources/nhdd/,,164735009,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
{},625641,View,2022-09-01T21:08:16.462316+00:00,2022-09-02T03:20:48.296586+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/mappings/89251/,625641,False,False,False,,10,SAME-AS,,bb4072ef-054b-47ba-b71e-a0fcdd7f0abb,,625641,89251,196571,,11,10,32242,Third Degree Burn of Abdominal Wall,/orgs/MOH-KENYA/sources/nhdd/,,29734005,,/orgs/IHTSDO/sources/SNOMED-CT/,,True,True
