checksums,id,public access,created at,updated at,created_by_id,updated_by_id,is active,extras,uri,version,released,retired,is latest version,external id,concept class,datatype,comment,parent_id,versioned_object_id,mnemonic,counted,index
{},155064,View,2022-09-01T20:58:27.742925+00:00,2022-09-01T20:58:27.751306+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/2999/,155064,False,False,False,d6b7d611-8dd3-4783-82ae-a6fe38ad3a90,Diagnosis,N/A,,10,155064,2999,True,True
{},155258,View,2022-09-01T20:58:30.925641+00:00,2022-09-01T20:58:30.937386+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/10916/,155258,False,False,False,6df95150-4e23-4355-a9a4-4661b2ee9ac9,Drug,N/A,,10,155258,10916,True,True
{},155416,View,2022-09-01T20:58:33.265497+00:00,2022-09-01T20:58:33.273544+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/9479/,155416,False,False,False,5b30e887-6bc0-4994-974d-bd32f72d876a,Diagnosis,N/A,,10,155416,9479,True,True
{},212819,View,2022-09-01T21:12:33.957374+00:00,2022-09-01T21:12:33.966710+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/38268/,212819,False,False,False,8d237f94-c77d-4b3c-a83c-937ad54e529f,Diagnosis,N/A,,10,212819,38268,True,True
{},142893,View,2022-09-01T20:55:21.354200+00:00,2022-09-01T20:55:21.370830+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/11202/,142893,False,False,False,ddff5bde-915a-45e7-aa2f-ed65a725a488,Diagnosis,N/A,,10,142893,11202,True,True
{},149085,View,2022-09-01T20:56:59.465972+00:00,2022-09-01T20:56:59.474878+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/4576/,149085,False,False,False,fd245300-0f82-493c-94a3-6f67816f04f0,Diagnosis,N/A,,10,149085,4576,True,True
{},171682,View,2022-09-01T21:02:30.170295+00:00,2022-09-01T21:02:30.179624+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/21282/,171682,False,False,False,59c2cbe4-af78-46af-8094-6145e28d0970,Diagnosis,N/A,,10,171682,21282,True,True
{},142896,View,2022-09-01T20:55:21.494451+00:00,2022-09-01T20:55:21.508600+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/9758/,142896,False,False,False,9a789259-a4b4-4830-af0f-b38dde8d77c6,Drug,N/A,,10,142896,9758,True,True
{},212821,View,2022-09-01T21:12:33.984657+00:00,2022-09-01T21:12:33.992497+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/39171/,212821,False,False,False,ace0bab8-71d2-4baa-a826-95d10364c829,Diagnosis,N/A,,10,212821,39171,True,True
{},142897,View,2022-09-01T20:55:21.495793+00:00,2022-09-01T20:55:21.508285+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/10120/,142897,False,False,False,e2df181e-3824-4bc7-8b88-7d59e6ec012d,Diagnosis,N/A,,10,142897,10120,True,True
{},149086,View,2022-09-01T20:56:59.488660+00:00,2022-09-01T20:56:59.496441+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/10159/,149086,False,False,False,064bc1d8-d67b-41d3-a987-5fad5965936a,Diagnosis,N/A,,10,149086,10159,True,True
{},154434,View,2022-09-01T20:58:18.691856+00:00,2022-09-01T20:58:18.701049+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/3531/,154434,False,False,False,1e1b6b83-dcc2-47e0-b520-a75217d9399c,Diagnosis,N/A,,10,154434,3531,True,True
{},149087,View,2022-09-01T20:56:59.488941+00:00,2022-09-01T20:56:59.504410+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/9981/,149087,False,False,False,5ceb518a-0306-4f2e-8be0-d7e19278f9c9,Drug,N/A,,10,149087,9981,True,True
{},212820,View,2022-09-01T21:12:33.983281+00:00,2022-09-01T21:12:33.993874+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/29498/,212820,False,False,False,e5f50ea7-3380-4611-8e7a-f6815ddd46da,Diagnosis,N/A,,10,212820,29498,True,True
{},142899,View,2022-09-01T20:55:21.551652+00:00,2022-09-01T20:55:21.568365+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/2739/,142899,False,False,False,b5b5e17d-72fc-4458-a7d6-421ca43eff7b,Diagnosis,N/A,,10,142899,2739,True,True
{},171685,View,2022-09-01T21:02:30.217495+00:00,2022-09-01T21:02:30.227445+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/25770/,171685,False,False,False,93be3f7c-3547-48e1-8497-d17f06e89832,Procedure,N/A,,10,171685,25770,True,True
{},149088,View,2022-09-01T20:56:59.514408+00:00,2022-09-01T20:56:59.521930+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/12133/,149088,False,False,False,7b3c034c-4cbd-4fa1-873d-a4f9f96b0b3b,Diagnosis,N/A,,10,149088,12133,True,True
{},153792,View,2022-09-01T20:58:09.325748+00:00,2022-09-01T20:58:09.333327+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/3526/,153792,False,False,False,e7f7d637-7461-43ee-84ce-ab430884079b,Diagnosis,N/A,,10,153792,3526,True,True
{},171687,View,2022-09-01T21:02:30.231277+00:00,2022-09-01T21:02:30.240932+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/14626/,171687,False,False,False,4fc36bcb-3159-449f-8c24-5bda79fdca83,Question,Coded,,10,171687,14626,True,True
{},171688,View,2022-09-01T21:02:30.249705+00:00,2022-09-01T21:02:30.258284+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/18406/,171688,False,False,False,277d30c8-aa8b-4072-aa3c-f31205b913ed,Misc,N/A,,10,171688,18406,True,True
{},142902,View,2022-09-01T20:55:21.583813+00:00,2022-09-01T20:55:21.597178+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/6700/,142902,False,False,False,9bf7a14e-5533-45fa-b124-b7b5aa1bc432,Diagnosis,N/A,,10,142902,6700,True,True
{},171689,View,2022-09-01T21:02:30.254167+00:00,2022-09-01T21:02:30.265096+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/15889/,171689,False,False,False,0496dc97-ec06-4a53-a305-71cdb04bfd2c,Diagnosis,N/A,,10,171689,15889,True,True
{},142903,View,2022-09-01T20:55:21.583942+00:00,2022-09-01T20:55:21.590937+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/37/,142903,False,False,False,a791287a-28b2-43db-a650-48e3fb4115c7,Diagnosis,N/A,,10,142903,37,True,True
{},142904,View,2022-09-01T20:55:21.587869+00:00,2022-09-01T20:55:21.594627+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/3640/,142904,False,False,False,9c062a99-fe9c-43d7-a68f-ab90cbe3ec8d,Drug,N/A,,10,142904,3640,True,True
{},142905,View,2022-09-01T20:55:21.587549+00:00,2022-09-01T20:55:21.597516+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/1836/,142905,False,False,False,ab14829d-dbd2-4655-bcd5-daea8704bd05,Drug,N/A,,10,142905,1836,True,True
{},171690,View,2022-09-01T21:02:30.260240+00:00,2022-09-01T21:02:30.268320+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/20919/,171690,False,False,False,a7c9b9cf-05bb-4f6e-988a-6e1b6b5ffce1,Question,Coded,,10,171690,20919,True,True
{},152136,View,2022-09-01T20:57:43.978093+00:00,2022-09-01T20:57:43.985325+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/1359/,152136,False,False,False,91ab6e4e-935d-4bcd-93c6-15c3aee55a10,Drug,N/A,,10,152136,1359,True,True
{},136953,View,2022-09-01T20:53:45.160593+00:00,2022-09-01T20:53:45.169795+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/901/,136953,False,False,False,f6026bab-aa70-4bd9-9c14-3ab39d12652c,Drug,N/A,,10,136953,901,True,True
{},149092,View,2022-09-01T20:56:59.551184+00:00,2022-09-01T20:56:59.566795+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/14106/,149092,False,False,False,158e156b-b4f5-41d7-b703-f69b06d1291e,Diagnosis,N/A,,10,149092,14106,True,True
{},136954,View,2022-09-01T20:53:45.200884+00:00,2022-09-01T20:53:45.212746+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/10081/,136954,False,False,False,75ba7556-f297-457d-9c4b-b40acf9471c9,Drug,N/A,,10,136954,10081,True,True
{},171693,View,2022-09-01T21:02:30.285263+00:00,2022-09-01T21:02:30.294523+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/21101/,171693,False,False,False,6ee31a46-72af-4d5b-b766-bcca88aacbda,Procedure,N/A,,10,171693,21101,True,True
{},152138,View,2022-09-01T20:57:43.982819+00:00,2022-09-01T20:57:43.992132+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/5136/,152138,False,False,False,11d6d0b3-723c-4010-8837-8ffa84b14bbe,Drug,N/A,,10,152138,5136,True,True
{},136958,View,2022-09-01T20:53:45.482803+00:00,2022-09-01T20:53:45.491089+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/3061/,136958,False,False,False,fd04d2da-f3ea-4193-8b65-c856f020d8cb,Drug,N/A,,10,136958,3061,True,True
{},142911,View,2022-09-01T20:55:21.664082+00:00,2022-09-01T20:55:21.681573+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/4181/,142911,False,False,False,895fefde-494b-47d3-9701-66f11952ef2c,Diagnosis,N/A,,10,142911,4181,True,True
{},136957,View,2022-09-01T20:53:45.472300+00:00,2022-09-01T20:53:45.483776+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/6661/,136957,False,False,False,9311e1ef-536f-41ec-8d1c-ec860b7b1242,Diagnosis,N/A,,10,136957,6661,True,True
{},149094,View,2022-09-01T20:56:59.561597+00:00,2022-09-01T20:56:59.572680+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/5657/,149094,False,False,False,25575ca1-b4e8-475b-8864-4f6463619bd3,Diagnosis,N/A,,10,149094,5657,True,True
{},136959,View,2022-09-01T20:53:45.511102+00:00,2022-09-01T20:53:45.529995+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/10261/,136959,False,False,False,f3f342e3-e5e6-40a4-8366-45edc11a17d3,Drug,N/A,,10,136959,10261,True,True
{},142912,View,2022-09-01T20:55:21.695911+00:00,2022-09-01T20:55:21.706676+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/9577/,142912,False,False,False,22c83b11-9dd3-4a63-983e-d2482bdcfd7c,Diagnosis,N/A,,10,142912,9577,True,True
{},136962,View,2022-09-01T20:53:45.589358+00:00,2022-09-01T20:53:45.601445+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/11701/,136962,False,False,False,9bb114de-1594-4d8d-8f38-6a5f55b60bd3,Diagnosis,N/A,,10,136962,11701,True,True
{},136964,View,2022-09-01T20:53:45.624437+00:00,2022-09-01T20:53:45.636667+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/10801/,136964,False,False,False,55006c06-0066-4a91-bd84-14870e32c81c,Drug,N/A,,10,136964,10801,True,True
{},149095,View,2022-09-01T20:56:59.586238+00:00,2022-09-01T20:56:59.594031+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/3321/,149095,False,False,False,5c08cdfa-a907-4c24-ac80-975e0c7e7940,Drug,N/A,,10,149095,3321,True,True
{},212824,View,2022-09-01T21:12:34.033885+00:00,2022-09-01T21:12:34.043059+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/28969/,212824,False,False,False,16175654-c38a-4cda-a92f-a7fb3ab14f08,Diagnosis,N/A,,10,212824,28969,True,True
{},136966,View,2022-09-01T20:53:45.677630+00:00,2022-09-01T20:53:45.686630+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/9541/,136966,False,False,False,4b758922-30b8-4928-9a28-412869123ddb,Diagnosis,N/A,,10,136966,9541,True,True
{},136968,View,2022-09-01T20:53:45.731488+00:00,2022-09-01T20:53:45.741313+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/11161/,136968,False,False,False,7cfb5687-b3ea-4a4d-9dc2-251bf9f82c42,Diagnosis,N/A,,10,136968,11161,True,True
{},142915,View,2022-09-01T20:55:21.792141+00:00,2022-09-01T20:55:21.799701+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/6155/,142915,False,False,False,a86a88ac-e748-4da9-b06c-5838b2cfb6b3,Drug,N/A,,10,142915,6155,True,True
{},142916,View,2022-09-01T20:55:21.807521+00:00,2022-09-01T20:55:21.815454+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/4901/,142916,False,False,False,88c5a3c3-9dc6-46e3-a812-567f5fdfd51a,Drug,N/A,,10,142916,4901,True,True
{},136970,View,2022-09-01T20:53:45.764084+00:00,2022-09-01T20:53:45.773425+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/8281/,136970,False,False,False,0eb98784-465e-4ad4-a58a-61796833a1ae,Drug,N/A,,10,136970,8281,True,True
{},136971,View,2022-09-01T20:53:45.774003+00:00,2022-09-01T20:53:45.783014+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/12061/,136971,False,False,False,1dc022bb-b136-4db0-bc81-2141c94aa86d,Diagnosis,N/A,,10,136971,12061,True,True
{},136974,View,2022-09-01T20:53:45.831073+00:00,2022-09-01T20:53:45.837989+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/1441/,136974,False,False,False,d183b478-9f5a-45ff-81a6-a094de8a6b11,Drug,N/A,,10,136974,1441,True,True
{},171698,View,2022-09-01T21:02:30.337974+00:00,2022-09-01T21:02:30.349578+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/21462/,171698,False,False,False,086a481d-f79e-4c70-adac-fe6faa267754,Diagnosis,N/A,,10,171698,21462,True,True
{},142918,View,2022-09-01T20:55:21.853610+00:00,2022-09-01T20:55:21.863930+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/11920/,142918,False,False,False,a60f1e94-2886-4925-aa52-02d1f1537937,Drug,N/A,,10,142918,11920,True,True
{},149099,View,2022-09-01T20:56:59.641021+00:00,2022-09-01T20:56:59.651825+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/1337/,149099,False,False,False,35e778f2-55fc-4261-8302-9899ca5c5a54,Drug,N/A,,10,149099,1337,True,True
{},212826,View,2022-09-01T21:12:34.049660+00:00,2022-09-01T21:12:34.060057+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/31449/,212826,False,False,False,e7a07af8-a71c-431f-947a-f877d5999620,Diagnosis,N/A,,10,212826,31449,True,True
{},136977,View,2022-09-01T20:53:45.878426+00:00,2022-09-01T20:53:45.893821+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/11341/,136977,False,False,False,55635b06-2ce9-4435-a879-893824de1148,Diagnosis,N/A,,10,136977,11341,True,True
{},136978,View,2022-09-01T20:53:45.909410+00:00,2022-09-01T20:53:45.916419+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/5581/,136978,False,False,False,601340ca-a311-4601-b1e5-587469fe9472,Drug,N/A,,10,136978,5581,True,True
{},142919,View,2022-09-01T20:55:21.854781+00:00,2022-09-01T20:55:21.866066+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/2198/,142919,False,False,False,c9d4dc12-351f-4b5e-8bc9-c5bb6934a673,Drug,N/A,,10,142919,2198,True,True
{},136982,View,2022-09-01T20:53:45.979488+00:00,2022-09-01T20:53:45.987087+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/9901/,136982,False,False,False,d23f889a-7342-4d15-83e7-5d54378c3ae6,Drug,N/A,,10,136982,9901,True,True
{},142921,View,2022-09-01T20:55:21.907062+00:00,2022-09-01T20:55:21.916081+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/397/,142921,False,False,False,82ce5e56-45aa-4467-aa9f-1897dae6bf26,Diagnosis,N/A,,10,142921,397,True,True
{},136981,View,2022-09-01T20:53:45.977626+00:00,2022-09-01T20:53:45.987351+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/7381/,136981,False,False,False,410617fd-0fbc-4eb5-be3f-477b774ff625,Diagnosis,N/A,,10,136981,7381,True,True
{},212827,View,2022-09-01T21:12:34.065672+00:00,2022-09-01T21:12:34.074643+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/38092/,212827,False,False,False,9a140622-fe17-4816-a9cc-c65eb22c28db,Diagnosis,N/A,,10,212827,38092,True,True
{},142923,View,2022-09-01T20:55:21.920338+00:00,2022-09-01T20:55:21.926997+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/12455/,142923,False,False,False,a6f0caf9-ee72-4ae7-b445-2b3307183c6e,Diagnosis,N/A,,10,142923,12455,True,True
{},136983,View,2022-09-01T20:53:45.990572+00:00,2022-09-01T20:53:46.000976+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/3601/,136983,False,False,False,fe3e4ef8-14c3-40b8-86fa-c18309a6627f,Drug,N/A,,10,136983,3601,True,True
{},171701,View,2022-09-01T21:02:30.418479+00:00,2022-09-01T21:02:30.427517+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/896/,171701,False,False,False,ded22497-7623-4a54-b8db-b3fedc90a248,Diagnosis,N/A,,10,171701,896,True,True
{},136987,View,2022-09-01T20:53:46.108039+00:00,2022-09-01T20:53:46.118646+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/2161/,136987,False,False,False,8345afe6-a772-457e-8d8a-74a8fe81f89a,Drug,N/A,,10,136987,2161,True,True
{},142926,View,2022-09-01T20:55:21.972757+00:00,2022-09-01T20:55:21.981143+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/3100/,142926,False,False,False,3f9ad242-b2e6-4947-aa4b-1c6e54e6ac40,Diagnosis,N/A,,10,142926,3100,True,True
{},171702,View,2022-09-01T21:02:30.424191+00:00,2022-09-01T21:02:30.434651+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/18588/,171702,False,False,False,ebdc89d9-929e-4158-b344-106a1f1448d0,Diagnosis,N/A,,10,171702,18588,True,True
{},136988,View,2022-09-01T20:53:46.121145+00:00,2022-09-01T20:53:46.130420+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/2701/,136988,False,False,False,0bf63930-d941-4865-a660-644ad67ec6a7,Diagnosis,N/A,,10,136988,2701,True,True
{},149101,View,2022-09-01T20:56:59.721893+00:00,2022-09-01T20:56:59.731209+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/256/,149101,False,False,False,d58ff303-7f7c-4da2-bd8b-1603eded96c2,Diagnosis,N/A,,10,149101,256,True,True
{},136990,View,2022-09-01T20:53:46.147771+00:00,2022-09-01T20:53:46.157356+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/10621/,136990,False,False,False,df0b2adb-54a9-41d1-8667-80bfc8557dbf,Diagnosis,N/A,,10,136990,10621,True,True
{},142927,View,2022-09-01T20:55:21.976503+00:00,2022-09-01T20:55:21.990735+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/10481/,142927,False,False,False,0035ac4e-e38f-4b0c-90c5-6f6cd8edd9bb,Drug,N/A,,10,142927,10481,True,True
{},136989,View,2022-09-01T20:53:46.140179+00:00,2022-09-01T20:53:46.148214+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/2341/,136989,False,False,False,ca1652a2-d02f-4feb-8f3f-dab89df8298d,Drug,N/A,,10,136989,2341,True,True
{},136991,View,2022-09-01T20:53:46.151663+00:00,2022-09-01T20:53:46.165430+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/7201/,136991,False,False,False,24843f58-bb31-4c02-9453-f00486b76984,Drug,N/A,,10,136991,7201,True,True
{},142929,View,2022-09-01T20:55:22.008986+00:00,2022-09-01T20:55:22.016775+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/4359/,142929,False,False,False,c025d862-ba0e-42a9-9c03-5fd28c531703,Drug,N/A,,10,142929,4359,True,True
{},136993,View,2022-09-01T20:53:46.177832+00:00,2022-09-01T20:53:46.187998+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/3781/,136993,False,False,False,20d2570a-cfd3-4a2e-83c9-6f53e2b02434,Drug,N/A,,10,136993,3781,True,True
{},171704,View,2022-09-01T21:02:30.476186+00:00,2022-09-01T21:02:30.485253+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/16426/,171704,False,False,False,bd3d77fe-5e8b-483b-8f34-0c8e1cc3f661,Diagnosis,N/A,,10,171704,16426,True,True
{},142933,View,2022-09-01T20:55:22.120432+00:00,2022-09-01T20:55:22.128295+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/3461/,142933,False,False,False,df744eca-c527-4df0-b8fc-d1dfb6a17ae6,Drug,N/A,,10,142933,3461,True,True
{},149103,View,2022-09-01T20:56:59.800025+00:00,2022-09-01T20:56:59.812157+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/9260/,149103,False,False,False,0fc039ce-733d-4079-9fa1-512214a57503,Diagnosis,N/A,,10,149103,9260,True,True
{},136999,View,2022-09-01T20:53:46.274994+00:00,2022-09-01T20:53:46.284109+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/7021/,136999,False,False,False,f4dcef51-4357-45bd-83c3-ba712e1d4fb9,Drug,N/A,,10,136999,7021,True,True
{},142934,View,2022-09-01T20:55:22.124962+00:00,2022-09-01T20:55:22.135053+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/5979/,142934,False,False,False,f9d9ba54-8e71-48c3-8c2b-a9b6386b3893,Diagnosis,N/A,,10,142934,5979,True,True
{},171706,View,2022-09-01T21:02:30.502963+00:00,2022-09-01T21:02:30.513391+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/24695/,171706,False,False,False,e0b1b180-5413-4f59-b7fc-b7a54d754813,Finding,N/A,,10,171706,24695,True,True
{},137000,View,2022-09-01T20:53:46.313445+00:00,2022-09-01T20:53:46.322957+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/1081/,137000,False,False,False,ba09cb84-5a64-464e-9267-5fcaa7b40602,Drug,N/A,,10,137000,1081,True,True
{},137001,View,2022-09-01T20:53:46.333722+00:00,2022-09-01T20:53:46.341825+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/6481/,137001,False,False,False,52cbdd29-0488-4eb0-b77a-dfd5c5459951,Drug,N/A,,10,137001,6481,True,True
{},149104,View,2022-09-01T20:56:59.811224+00:00,2022-09-01T20:56:59.820605+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/1517/,149104,False,False,False,d8c1d809-988b-4163-8b83-338b0f292d12,Drug,N/A,,10,149104,1517,True,True
{},137003,View,2022-09-01T20:53:46.356620+00:00,2022-09-01T20:53:46.377579+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/9721/,137003,False,False,False,9dd9dddb-cf4d-4231-9625-faa3c07138b0,Drug,N/A,,10,137003,9721,True,True
{},171707,View,2022-09-01T21:02:30.515607+00:00,2022-09-01T21:02:30.523442+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/15357/,171707,False,False,False,d143d344-fb84-440b-8a77-5f3ae9289966,Drug,N/A,,10,171707,15357,True,True
{},142937,View,2022-09-01T20:55:22.200615+00:00,2022-09-01T20:55:22.208829+00:00,1,1,True,{},/orgs/MOH-KENYA/sources/nhdd/concepts/12816/,142937,False,False,False,afa7ea18-7a67-4a0b-afcf-59b45f39457a,Diagnosis,N/A,,10,142937,12816,True,True
